WO,District,LeadTech,Service,Rush,ReqDate,WorkDate,Techs,WtyLbr,WtyParts,LbrHrs,PartsCost,Payment,Wait,LbrRate,LbrCost,LbrFee,PartsFee,TotalCost,TotalFee,ReqDay,WorkDay
A00100,North,Khan,Assess,,01-Sep-20,15-Sep-20,2,,,0.5,360.0,Account,14,#REF!,#REF!,#REF!,360.0,#REF!,#REF!,Tue,Tue
A00101,South,Lopez,Replace,,01-Sep-20,04-Sep-20,1,,,0.5,90.04,Account,3,#REF!,#REF!,#REF!,90.04,#REF!,#REF!,Tue,Fri
A00102,Central,Cartier,Deliver,,01-Sep-20,17-Sep-20,1,,,0.25,120.0,P.O.,16,#REF!,#REF!,#REF!,120.0,#REF!,#REF!,Tue,Thu
A00103,South,Lopez,Deliver,,01-Sep-20,17-Sep-20,1,,,0.25,16.25,Account,16,#REF!,#REF!,#REF!,16.25,#REF!,#REF!,Tue,Thu
A00104,Northwest,Cartier,Deliver,Yes,01-Sep-20,17-Sep-20,1,,,0.25,45.24,Account,16,#REF!,#REF!,#REF!,45.24,#REF!,#REF!,Tue,Thu
A00105,South,Lopez,Assess,,01-Sep-20,15-Sep-20,1,,,0.25,97.63,Account,14,#REF!,#REF!,#REF!,97.63,#REF!,#REF!,Tue,Tue
A00106,Central,Cartier,Assess,,02-Sep-20,16-Sep-20,2,,,0.25,29.13,Account,14,#REF!,#REF!,#REF!,29.13,#REF!,#REF!,Wed,Wed
A00107,South,Lopez,Replace,,02-Sep-20,02-Oct-20,1,,,0.75,35.1,Account,30,#REF!,#REF!,#REF!,35.1,#REF!,#REF!,Wed,Fri
A00108,Northwest,Burton,Deliver,,02-Sep-20,01-Oct-20,1,,,0.25,76.7,C.O.D.,29,#REF!,#REF!,#REF!,76.7,#REF!,#REF!,Wed,Thu
A00109,Central,Khan,Repair,Yes,02-Sep-20,06-Oct-20,1,,,1.5,374.08,C.O.D.,34,#REF!,#REF!,#REF!,374.08,#REF!,#REF!,Wed,Tue
A00110,West,Burton,Replace,,02-Sep-20,08-Dec-20,2,,,4.75,832.16,Account,97,#REF!,#REF!,#REF!,832.16,#REF!,#REF!,Wed,Tue
A00111,South,Lopez,Deliver,Yes,03-Sep-20,23-Sep-20,1,,,0.25,70.21,Account,20,#REF!,#REF!,#REF!,70.21,#REF!,#REF!,Thu,Wed
A00112,West,Burton,Assess,,04-Sep-20,30-Sep-20,1,,,0.5,150.0,P.O.,26,#REF!,#REF!,#REF!,150.0,#REF!,#REF!,Fri,Wed
A00113,Central,Michner,Assess,,04-Sep-20,24-Oct-20,2,,,1.5,275.0,C.O.D.,50,#REF!,#REF!,#REF!,275.0,#REF!,#REF!,Fri,Sat
A00114,Northwest,Khan,Replace,Yes,04-Sep-20,10-Nov-20,1,,,0.75,938.0,C.O.D.,67,#REF!,#REF!,#REF!,938.0,#REF!,#REF!,Fri,Tue
A00115,South,Lopez,Assess,,05-Sep-20,21-Sep-20,1,,,0.25,61.25,Account,16,#REF!,#REF!,#REF!,61.25,#REF!,#REF!,Sat,Mon
A00116,West,Burton,Assess,,05-Sep-20,22-Sep-20,1,,,1.5,48.0,C.O.D.,17,#REF!,#REF!,#REF!,48.0,#REF!,#REF!,Sat,Tue
A00117,Northwest,Burton,Assess,,07-Sep-20,10-Sep-20,2,,,0.25,204.28,Account,3,#REF!,#REF!,#REF!,204.28,#REF!,#REF!,Mon,Thu
A00118,Northwest,Cartier,Replace,,08-Sep-20,15-Sep-20,2,,,0.5,240.0,Account,7,#REF!,#REF!,#REF!,240.0,#REF!,#REF!,Tue,Tue
A00119,Southeast,Khan,Replace,,08-Sep-20,21-Sep-20,2,,,0.5,120.0,Account,13,#REF!,#REF!,#REF!,120.0,#REF!,#REF!,Tue,Mon
A00120,Central,Cartier,Repair,,08-Sep-20,25-Sep-20,1,,,1.75,475.0,Account,17,#REF!,#REF!,#REF!,475.0,#REF!,#REF!,Tue,Fri
A00121,Southeast,Khan,Replace,,08-Sep-20,22-Sep-20,1,,,1.75,341.0,C.O.D.,14,#REF!,#REF!,#REF!,341.0,#REF!,#REF!,Tue,Tue
A00122,Northwest,Khan,Assess,,08-Sep-20,28-Oct-20,1,,,0.75,61.18,C.O.D.,50,#REF!,#REF!,#REF!,61.18,#REF!,#REF!,Tue,Wed
A00123,Northeast,Ling,Replace,,08-Sep-20,11-Sep-20,1,,,0.5,160.25,Account,3,#REF!,#REF!,#REF!,160.25,#REF!,#REF!,Tue,Fri
A00124,Northwest,Lopez,Assess,,08-Sep-20,28-Sep-20,1,,,0.25,101.78,Account,20,#REF!,#REF!,#REF!,101.78,#REF!,#REF!,Tue,Mon
A00125,Central,Burton,Replace,Yes,08-Sep-20,09-Sep-20,1,,,0.5,14.1,P.O.,1,#REF!,#REF!,#REF!,14.1,#REF!,#REF!,Tue,Wed
A00126,Southwest,Lopez,Assess,Yes,09-Sep-20,14-Sep-20,1,,,1.0,35.35,Account,5,#REF!,#REF!,#REF!,35.35,#REF!,#REF!,Wed,Mon
A00127,West,Lopez,Assess,,09-Sep-20,11-Sep-20,1,,Yes,0.75,349.11,P.O.,2,#REF!,#REF!,#REF!,349.11,#REF!,#REF!,Wed,Fri
A00128,Northeast,Michner,Assess,,10-Sep-20,15-Sep-20,2,,,0.5,118.54,P.O.,5,#REF!,#REF!,#REF!,118.54,#REF!,#REF!,Thu,Tue
A00129,Southwest,Ling,Deliver,,10-Sep-20,15-Sep-20,1,,,0.25,14.2,Account,5,#REF!,#REF!,#REF!,14.2,#REF!,#REF!,Thu,Tue
A00130,Central,Khan,Replace,,11-Sep-20,18-Sep-20,1,,,0.5,60.72,Account,7,#REF!,#REF!,#REF!,60.72,#REF!,#REF!,Fri,Fri
A00131,Northeast,Ling,Replace,Yes,11-Sep-20,14-Sep-20,1,,,2.0,239.29,C.O.D.,3,#REF!,#REF!,#REF!,239.29,#REF!,#REF!,Fri,Mon
A00132,Southeast,Cartier,Replace,,12-Sep-20,14-Sep-20,1,,,1.5,89.91,C.O.D.,2,#REF!,#REF!,#REF!,89.91,#REF!,#REF!,Sat,Mon
A00133,East,Ling,Replace,,12-Sep-20,17-Sep-20,1,,,0.25,331.09,C.O.D.,5,#REF!,#REF!,#REF!,331.09,#REF!,#REF!,Sat,Thu
A00134,Northwest,Burton,Deliver,Yes,13-Sep-20,18-Sep-20,1,,,0.25,65.36,P.O.,5,#REF!,#REF!,#REF!,65.36,#REF!,#REF!,Sun,Fri
A00135,Southwest,Burton,Assess,,13-Sep-20,15-Sep-20,1,,,0.25,27.82,Account,2,#REF!,#REF!,#REF!,27.82,#REF!,#REF!,Sun,Tue
A00136,Northwest,Khan,Assess,,14-Sep-20,04-Oct-20,2,Yes,,0.5,55.45,Account,20,#REF!,#REF!,#REF!,55.45,#REF!,#REF!,Mon,Sun
A00137,North,Lopez,Replace,,14-Sep-20,15-Sep-20,1,,,0.75,103.34,Account,1,#REF!,#REF!,#REF!,103.34,#REF!,#REF!,Mon,Tue
A00138,Southeast,Burton,Assess,Yes,15-Sep-20,20-Sep-20,1,,,0.5,132.96,C.O.D.,5,#REF!,#REF!,#REF!,132.96,#REF!,#REF!,Tue,Sun
A00139,North,Khan,Assess,,15-Sep-20,16-Sep-20,1,,,0.25,161.52,C.O.D.,1,#REF!,#REF!,#REF!,161.52,#REF!,#REF!,Tue,Wed
A00140,Southeast,Burton,Repair,Yes,16-Sep-20,19-Sep-20,1,Yes,,0.25,26.95,P.O.,3,#REF!,#REF!,#REF!,26.95,#REF!,#REF!,Wed,Sat
A00141,Central,Burton,Assess,Yes,16-Sep-20,26-Sep-20,1,,,0.25,285.51,P.O.,10,#REF!,#REF!,#REF!,285.51,#REF!,#REF!,Wed,Sat
A00142,Southwest,Khan,Assess,Yes,17-Sep-20,22-Sep-20,2,,,1.5,240.9,P.O.,5,#REF!,#REF!,#REF!,240.9,#REF!,#REF!,Thu,Tue
A00143,Northeast,Burton,Replace,Yes,17-Sep-20,24-Sep-20,1,,,0.25,107.98,C.O.D.,7,#REF!,#REF!,#REF!,107.98,#REF!,#REF!,Thu,Thu
A00144,Southwest,Burton,Replace,,17-Sep-20,22-Sep-20,1,,,0.75,165.66,Account,5,#REF!,#REF!,#REF!,165.66,#REF!,#REF!,Thu,Tue
A00145,Central,Michner,Assess,,18-Sep-20,23-Sep-20,1,Yes,,1.5,80.88,Account,5,#REF!,#REF!,#REF!,80.88,#REF!,#REF!,Fri,Wed
A00146,North,Ling,Assess,Yes,18-Sep-20,23-Sep-20,1,,,0.25,351.03,P.O.,5,#REF!,#REF!,#REF!,351.03,#REF!,#REF!,Fri,Wed
A00147,Central,Burton,Assess,Yes,19-Sep-20,03-Oct-20,1,,,3.5,21.9,Account,14,#REF!,#REF!,#REF!,21.9,#REF!,#REF!,Sat,Sat
A00148,North,Cartier,Assess,,19-Sep-20,21-Sep-20,1,,,0.25,40.62,C.O.D.,2,#REF!,#REF!,#REF!,40.62,#REF!,#REF!,Sat,Mon
A00149,South,Lopez,Replace,,20-Sep-20,23-Sep-20,1,,,0.25,77.82,Account,3,#REF!,#REF!,#REF!,77.82,#REF!,#REF!,Sun,Wed
A00150,Southeast,Khan,Replace,Yes,20-Sep-20,25-Sep-20,1,,,1.5,62.0,Account,5,#REF!,#REF!,#REF!,62.0,#REF!,#REF!,Sun,Fri
A00151,Southeast,Michner,Assess,,21-Sep-20,22-Sep-20,1,,,0.25,17.07,C.O.D.,1,#REF!,#REF!,#REF!,17.07,#REF!,#REF!,Mon,Tue
A00152,East,Khan,Deliver,Yes,21-Sep-20,24-Sep-20,1,,,0.25,103.45,C.O.D.,3,#REF!,#REF!,#REF!,103.45,#REF!,#REF!,Mon,Thu
A00153,West,Ling,Repair,,22-Sep-20,27-Sep-20,1,,,0.5,22.3,Account,5,#REF!,#REF!,#REF!,22.3,#REF!,#REF!,Tue,Sun
A00154,Southeast,Khan,Replace,,22-Sep-20,12-Oct-20,1,,,0.5,162.96,C.O.D.,20,#REF!,#REF!,#REF!,162.96,#REF!,#REF!,Tue,Mon
A00155,Southeast,Ling,Replace,,23-Sep-20,25-Sep-20,1,,,0.25,62.7,Account,2,#REF!,#REF!,#REF!,62.7,#REF!,#REF!,Wed,Fri
A00156,West,Ling,Assess,,23-Sep-20,24-Sep-20,2,,,0.5,138.4,Account,1,#REF!,#REF!,#REF!,138.4,#REF!,#REF!,Wed,Thu
A00157,West,Lopez,Assess,,24-Sep-20,14-Oct-20,1,,,0.75,33.84,Account,20,#REF!,#REF!,#REF!,33.84,#REF!,#REF!,Thu,Wed
A00158,North,Burton,Replace,,24-Sep-20,29-Sep-20,2,,,0.25,212.55,C.O.D.,5,#REF!,#REF!,#REF!,212.55,#REF!,#REF!,Thu,Tue
A00159,North,Khan,Replace,,25-Sep-20,30-Sep-20,1,,,0.25,24.4,C.O.D.,5,#REF!,#REF!,#REF!,24.4,#REF!,#REF!,Fri,Wed
A00160,Northeast,Ling,Deliver,,25-Sep-20,26-Sep-20,1,,,0.75,63.89,P.O.,1,#REF!,#REF!,#REF!,63.89,#REF!,#REF!,Fri,Sat
A00161,Southwest,Ling,Repair,Yes,26-Sep-20,27-Sep-20,1,,,4.25,76.35,Account,1,#REF!,#REF!,#REF!,76.35,#REF!,#REF!,Sat,Sun
A00162,Northeast,Michner,Replace,Yes,26-Sep-20,03-Oct-20,1,,,0.25,291.91,C.O.D.,7,#REF!,#REF!,#REF!,291.91,#REF!,#REF!,Sat,Sat
A00163,Northwest,Ling,Deliver,,26-Sep-20,06-Oct-20,1,Yes,,0.5,389.53,C.O.D.,10,#REF!,#REF!,#REF!,389.53,#REF!,#REF!,Sat,Tue
A00164,East,Ling,Assess,,27-Sep-20,30-Sep-20,1,,,0.75,26.95,P.O.,3,#REF!,#REF!,#REF!,26.95,#REF!,#REF!,Sun,Wed
A00165,East,Cartier,Deliver,,27-Sep-20,17-Oct-20,2,Yes,,1.0,254.47,C.O.D.,20,#REF!,#REF!,#REF!,254.47,#REF!,#REF!,Sun,Sat
A00166,Northeast,Lopez,Assess,,28-Sep-20,01-Oct-20,2,,,3.5,68.76,Account,3,#REF!,#REF!,#REF!,68.76,#REF!,#REF!,Mon,Thu
A00167,Southeast,Khan,Replace,Yes,28-Sep-20,08-Oct-20,1,,,0.5,78.74,P.O.,10,#REF!,#REF!,#REF!,78.74,#REF!,#REF!,Mon,Thu
A00168,Central,Ling,Assess,Yes,29-Sep-20,01-Oct-20,1,,,1.0,176.11,C.O.D.,2,#REF!,#REF!,#REF!,176.11,#REF!,#REF!,Tue,Thu
